miR430_Probe1	GRCz11_Yang-chr4
miR430_Probe2	TuH
miR430_Probe3	ABH
miR430_Probe4	GRCz11_Yang-chr4, ABH
miR430_Probe5	TuH
miR430_Probe6	GRCz11_Yang-chr4
miR430_Probe7	GRCz11_Yang-chr4
miR430_Probe8	GRCz11_Yang-chr4
miR430_Probe9	ABH
miR430_Probe10	GRCz11_Yang-chr4
miR430_Probe11	GRCz11_Yang-chr4
miR430_Probe12	GRCz11_Yang-chr4
miR430_Probe13	TuH
miR430_Probe14	TuH
miR430_Probe15	GRCz11_Yang-chr4
miR430_Probe16	TuH
miR430_Probe17	GRCz11_Yang-chr4
miR430_Probe18	GRCz11_Yang-chr4
miR430_Probe19	TuH
miR430_Probe20	GRCz11_Yang-chr4
miR430_Probe21	GRCz11_Yang-chr4
miR430_Probe22	GRCz11_Yang-chr4
miR430_Probe23	TuH
miR430_Probe24	GRCz11_Yang-chr4
miR430_Probe25	GRCz11_Yang-chr4
miR430_Probe26	GRCz11_Yang-chr4
miR430_Probe27	GRCz11_Yang-chr4
miR430_Probe28	GRCz11_Yang-chr4
miR430_Probe29	GRCz11_Yang-chr4
miR430_Probe30	TuH
miR430_Probe31	GRCz11, GRCz11_Yang-chr4, ABH, TuH
miR430_Probe32	GRCz11_Yang-chr4
miR430_Probe33	TuH
miR430_Probe34	GRCz11_Yang-chr4
miR430_Probe35	TuH
miR430_Probe36	GRCz11_Yang-chr4
miR430_Probe37	GRCz11_Yang-chr4
miR430_Probe38	TuH
miR430_Probe39	GRCz11_Yang-chr4
miR430_Probe40	TuH
miR430_Probe41	GRCz11, ABH, TuH
miR430_Probe42	TuH
miR430_Probe43	GRCz11_Yang-chr4
miR430_Probe44	GRCz11_Yang-chr4
miR430_Probe45	TuH
miR430_Probe46	GRCz11_Yang-chr4, TuH
miR430_Probe47	GRCz11_Yang-chr4
miR430_Probe48	GRCz11_Yang-chr4, ABH
miR430_Probe49	TuH
miR430_Probe50	TuH
miR430_Probe51	GRCz11, ABH, TuH
miR430_Probe52	ABH
miR430_Probe53	GRCz11_Yang-chr4
miR430_Probe54	GRCz11_Yang-chr4, TuH
miR430_Probe55	TuH
miR430_Probe56	GRCz11, GRCz11_Yang-chr4, ABH, TuH
miR430_Probe57	GRCz11_Yang-chr4
miR430_Probe58	GRCz11_Yang-chr4, TuH
miR430_Probe59	TuH
miR430_Probe60	TuH
miR430_Probe61	GRCz11_Yang-chr4, ABH
miR430_Probe62	GRCz11_Yang-chr4, TuH
miR430_Probe63	GRCz11, GRCz11_Yang-chr4, ABH, TuH
miR430_Probe64	GRCz11_Yang-chr4
miR430_Probe65	TuH
miR430_Probe66	GRCz11_Yang-chr4
miR430_Probe67	GRCz11_Yang-chr4
miR430_Probe68	GRCz11_Yang-chr4
miR430_Probe69	GRCz11_Yang-chr4
miR430_Probe70	ABH
miR430_Probe71	GRCz11_Yang-chr4
miR430_Probe72	GRCz11_Yang-chr4
miR430_Probe73	GRCz11_Yang-chr4
miR430_Probe74	GRCz11_Yang-chr4
miR430_Probe75	GRCz11_Yang-chr4
miR430_Probe76	TuH
miR430_Probe77	GRCz11_Yang-chr4
miR430_Probe78	TuH
miR430_Probe79	GRCz11, ABH, TuH
miR430_Probe80	GRCz11_Yang-chr4
miR430_Probe81	TuH
miR430_Probe82	TuH
miR430_Probe83	GRCz11_Yang-chr4
miR430_Probe84	GRCz11_Yang-chr4
miR430_Probe85	GRCz11_Yang-chr4
miR430_Probe86	GRCz11, GRCz11_Yang-chr4, ABH, TuH
miR430_Probe87	GRCz11_Yang-chr4, TuH
miR430_Probe88	GRCz11_Yang-chr4
miR430_Probe89	GRCz11_Yang-chr4
miR430_Probe90	GRCz11_Yang-chr4
miR430_Probe91	TuH
miR430_Probe92	TuH
miR430_Probe93	TuH
miR430_Probe94	GRCz11, TuH
miR430_Probe95	GRCz11_Yang-chr4
miR430_Probe96	TuH
miR430_Probe97	GRCz11_Yang-chr4, TuH
miR430_Probe98	TuH
miR430_Probe99	GRCz11_Yang-chr4
miR430_Probe100	ABH
miR430_Probe101	GRCz11_Yang-chr4
miR430_Probe102	GRCz11_Yang-chr4
miR430_Probe103	ABH
miR430_Probe104	TuH
miR430_Probe105	TuH
miR430_Probe106	GRCz11_Yang-chr4
miR430_Probe107	GRCz11_Yang-chr4, TuH
miR430_Probe108	GRCz11_Yang-chr4
miR430_Probe109	GRCz11_Yang-chr4
miR430_Probe110	TuH
miR430_Probe111	TuH
miR430_Probe112	TuH
miR430_Probe113	TuH
miR430_Probe114	ABH
miR430_Probe115	TuH
miR430_Probe116	TuH
miR430_Probe117	GRCz11_Yang-chr4, ABH
miR430_Probe118	TuH
miR430_Probe119	GRCz11_Yang-chr4
miR430_Probe120	TuH
miR430_Probe121	GRCz11_Yang-chr4
miR430_Probe122	TuH
miR430_Probe123	TuH
miR430_Probe124	ABH
miR430_Probe125	ABH
miR430_Probe126	GRCz11_Yang-chr4
